name,l,b,RA,Dec,size,type,flux,s
G73.9+0.9,73.9,+0.9,20 14 15,+36 12,27,S?,9,0.23
G74.0-8.5,74.0,-8.5,20 51 00,+30 40,230x160,S,210,varies
G74.9+1.2,74.9,+1.2,20 16 02,+37 12,8x6,F,9,varies
G76.9+1.0,76.9,+1.0,20 22 20,+38 43,9,C,2?,?
G78.2+2.1,78.2,+2.1,20 20 50,+40 26,60,S,320,0.51
G82.2+5.3,82.2,+5.3,20 19 00,+45 30,95x65,S,120?,0.5?
G83.0-0.3,83.0,-0.3,20 46 55,+42 52,9x7,S,1,0.4
G84.2-0.8,84.2,-0.8,20 53 20,+43 27,20x16,S,11,0.5
G85.4+0.7,85.4,+0.7,20 50 40,+45 22,24?,S,?,0.2
G85.9-0.6,85.9,-0.6,20 58 40,+44 53,24,S,?,0.2
G89.0+4.7,89.0,+4.7,20 45 00,+50 35,120x90,S,220,0.38
G93.3+6.9,93.3,+6.9,20 52 25,+55 21,27x20,C?,9,0.45
G93.7-0.2,93.7,-0.2,21 29 20,+50 50,80,S,65,0.65
G94.0+1.0,94.0,+1.0,21 24 50,+51 53,30x25,S,13,0.45
G96.0+2.0,96.0,+2.0,21 30 30,+53 59,26,S,0.35,0.6
G106.3+2.7,106.3,+2.7,22 27 30,+60 50,60x24,C?,6,0.6
G107.0+9.0,107.0,+9.0,22 01 00,+66 30,180?,?,11?,0.9?
G108.2-0.6,108.2,-0.6,22 53 40,+58 50,70x54,S,8,0.5
G109.1-1.0,109.1,-1.0,23 01 35,+58 53,28,S,20,0.45
G111.7-2.1,111.7,-2.1,23 23 26,+58 48,5,S,2300,0.77
G113.0+0.2,113.0,+0.2,23 26 50,+61 26,40x17?,?,4,0.5?
G114.3+0.3,114.3,+0.3,23 37 00,+61 55,90x55,S,5.5,0.5
G116.5+1.1,116.5,+1.1,23 53 40,+63 15,80x60,S,10,0.5
G116.9+0.2,116.9,+0.2,23 59 10,+62 26,34,S,8,0.57
G119.5+10.2,119.5,+10.2,00 06 40,+72 45,90?,S,36,0.6
G120.1+1.4,120.1,+1.4,00 25 18,+64 09,8,S,50,0.58
G126.2+1.6,126.2,+1.6,01 22 00,+64 15,70,S?,6,0.5
G127.1+0.5,127.1,+0.5,01 28 20,+63 10,45,S,12,0.45
G130.7+3.1,130.7,+3.1,02 05 41,+64 49,9x5,F,33,0.07
G132.7+1.3,132.7,+1.3,02 17 40,+62 45,80,S,45,0.6
G150.3+4.5,150.3,+4.5,04 27 00,+55 28,180x150,S,?,?
G152.4-2.1,152.4,-2.1,04 07 50,+49 11,100x95,S,3.5?,0.7?
G156.2+5.7,156.2,+5.7,04 58 40,+51 50,110,S,5,0.5
G159.6+7.3,159.6,+7.3,05 20 00,+50 00,240x180? S,?,?,
G160.9+2.6,160.9,+2.6,05 01 00,+46 40,140x120,S,110,0.64
G166.0+4.3,166.0,+4.3,05 26 30,+42 56,55x35,S,7,0.37
G178.2-4.2,178.2,-4.2,05 25 05,+28 11,72x62,S,2,0.5
G179.0+2.6,179.0,+2.6,05 53 40,+31 05,70,S?,7,0.4
G180.0-1.7,180.0,-1.7,05 39 00,+27 50,180,S,65,varies
G181.1+9.5,181.1,+9.5,06 26 40,+32 30,74,S,0.4?,0.4?
G182.4+4.3,182.4,+4.3,06 08 10,+29 00,50,S,0.5,0.4
G184.6-5.8,184.6,-5.8,05 34 31,+22 01,7x5,F,900,0.30
G189.1+3.0,189.1,+3.0,06 17 00,+22 34,45,C,165,0.36
G190.9-2.2,190.9,-2.2,06 01 55,+18 24,70x60,S,1.3?,0.7?
G205.5+0.5,205.5,+0.5,06 39 00,+06 30,220,S,140,0.4
G206.9+2.3,206.9,+2.3,06 48 40,+06 26,60x40,S?,6,0.5
G213.0-0.6,213.0,-0.6,06 50 50,-00 30,160x140?,S,21,0.4
G249.5+24.5,249.5,+24.5,09 34 00,-17 00,260,S,27,0.7
G260.4-3.4,260.4,-3.4,08 22 10,-43 00,60x50,S,130,0.5
G261.9+5.5,261.9,+5.5,09 04 20,-38 42,40x30,S,10?,0.4?
G263.9-3.3,263.9,-3.3,08 34 00,-45 50,255,C,1750,varies
G266.2-1.2,266.2,-1.2,08 52 00,-46 20,120,S,50?,0.3?
G272.2-3.2,272.2,-3.2,09 06 50,-52 07,15?,S?,0.4,0.6
G279.0+1.1,279.0,+1.1,09 57 40,-53 15,95,S,30?,0.6?
G284.3-1.8,284.3,-1.8,10 18 15,-59 00,24?,S,11?,0.3?
G286.5-1.2,286.5,-1.2,10 35 40,-59 42,26x6,S?,1.4?,?
G289.7-0.3,289.7,-0.3,11 01 15,-60 18,18x14,S,6.2,0.2?
G290.1-0.8,290.1,-0.8,11 03 05,-60 56,19x14,S,42,0.4
G291.0-0.1,291.0,-0.1,11 11 54,-60 38,15x13,C,16,0.29
G292.0+1.8,292.0,+1.8,11 24 36,-59 16,12x8,C,15,0.4
G292.2-0.5,292.2,-0.5,11 19 20,-61 28,20x15,S,7,0.5
G293.8+0.6,293.8,+0.6,11 35 00,-60 54,20,C,5?,0.6?
G294.1-0.0,294.1,-0.0,11 36 10,-61 38,40,S,&gt;2?,?
G296.1-0.5,296.1,-0.5,11 51 10,-62 34,37x25,S,8?,0.6?
G296.5+10.0,296.5,+10.0,12 09 40,-52 25,90x65,S,48,0.5
G296.7-0.9,296.7,-0.9,11 55 30,-63 08,15x8,S,3,0.5
G296.8-0.3,296.8,-0.3,11 58 30,-62 35,20x14,S,9,0.6
G298.5-0.3,298.5,-0.3,12 12 40,-62 52,5?,?,5?,0.4?
G298.6-0.0,298.6,-0.0,12 13 41,-62 37,12x9,S,5?,0.3
G299.2-2.9,299.2,-2.9,12 15 13,-65 30,18x11,S,0.5?,?
G299.6-0.5,299.6,-0.5,12 21 45,-63 09,13,S,1.0?,?
G301.4-1.0,301.4,-1.0,12 37 55,-63 49,37x23,S,2.1?,?
G302.3+0.7,302.3,+0.7,12 45 55,-62 08,17,S,5?,0.4?
G304.6+0.1,304.6,+0.1,13 05 59,-62 42,8,S,14,0.5
G306.3-0.9,306.3,-0.9,13 21 50,-63 34,4,S?,0.16?,0.5?
G308.1-0.7,308.1,-0.7,13 37 37,-63 04,13,S,1.2?,?
G308.4-1.4,308.4,-1.4,13 41 30,-63 44,12x6?,S?,0.4?,?
G308.8-0.1,308.8,-0.1,13 42 30,-62 23,30x20?,C?,15?,0.4?
G309.2-0.6,309.2,-0.6,13 46 31,-62 54,15x12,S,7?,0.4?
G309.8+0.0,309.8,+0.0,13 50 30,-62 05,25x19,S,17,0.5
G310.6-1.6,310.6,-1.6,14 00 45,-63 26,2.5,C?,?,?
G310.6-0.3,310.6,-0.3,13 58 00,-62 09,8,S,5?,?
G310.8-0.4,310.8,-0.4,14 00 00,-62 17,12,S,6?,?
G311.5-0.3,311.5,-0.3,14 05 38,-61 58,5,S,3?,0.5
G312.4-0.4,312.4,-0.4,14 13 00,-61 44,38,S,45,0.36
G312.5-3.0,312.5,-3.0,14 21 00,-64 12,20x18,S,3.5?,?
G315.1+2.7,315.1,+2.7,14 24 30,-57 50,190x150,S,?,?
G315.4-2.3,315.4,-2.3,14 43 00,-62 30,42,S,49,0.6
G315.4-0.3,315.4,-0.3,14 35 55,-60 36,24x13,?,8,0.4
G315.9-0.0,315.9,-0.0,14 38 25,-60 11,25x14,S,0.8?,?
G316.3-0.0,316.3,-0.0,14 41 30,-60 00,29x14,S,20?,0.4
G317.3-0.2,317.3,-0.2,14 49 40,-59 46,11,S,4.7?,?
G318.2+0.1,318.2,+0.1,14 54 50,-59 04,40x35,S,&gt;3.9?,?
G318.9+0.4,318.9,+0.4,14 58 30,-58 29,30x14,C,4?,0.2?
G320.4-1.2,320.4,-1.2,15 14 30,-59 08,35,C,60?,0.4
G320.6-1.6,320.6,-1.6,15 17 50,-59 16,60x30,S,?,?
G321.9-1.1,321.9,-1.1,15 23 45,-58 13,28,S,&gt;3.4?,?
G321.9-0.3,321.9,-0.3,15 20 40,-57 34,31x23,S,13,0.3
G322.1+0.0,322.1,+0.0,15 20 49,-57 10,8x4.5? S?,?,?,
G322.5-0.1,322.5,-0.1,15 23 23,-57 06,15,C,1.5,0.4
G323.5+0.1,323.5,+0.1,15 28 42,-56 21,13,S,3?,0.4?
G323.7-1.0,323.7,-1.0,15 34 30,-57 12,51x38,S,?,?
G326.3-1.8,326.3,-1.8,15 53 00,-56 10,38,C,145,varies
G327.1-1.1,327.1,-1.1,15 54 25,-55 09,18,C,7?,?
G327.2-0.1,327.2,-0.1,15 50 55,-54 18,5,S,0.4,?
G327.4+0.4,327.4,+0.4,15 48 20,-53 49,21,S,30?,0.6
G327.4+1.0,327.4,+1.0,15 46 48,-53 20,14,S,1.9?,?
G327.6+14.6,327.6,+14.6,15 02 50,-41 56,30,S,19,0.6
G328.4+0.2,328.4,+0.2,15 55 30,-53 17,5,F,15,0.0
