P1,P0,P0_ERR,P1_ERR,PSRJ
3.93444e-14,0.922474730055,2e-12,2e-19,J0426+4933
8.165350209783043e-18,0.3262794534509304,1.383957662675092e-12,1.0645828174423786e-19,J0435+2749
5.729214736380701e-20,0.0057574519367126365,1.6574126401778046e-17,1.6574126401778044e-25,J0437-4715
7.9964907905098e-21,0.0029952823504138222,8.074544722830496e-17,8.074544722830497e-24,J0447+2447
1.4834695224561473e-16,0.4504483308562931,1.623229590169764e-12,1.8261332889409876e-20,J0448-2749
3.371e-15,0.479163971291,1.4e-11,4e-18,J0449-7031
1.026489270523791e-16,0.4380141493906399,7.674255802656231e-13,5.755691851992185e-21,J0450-1248
0.0,0.24545429,7e-08,2e-15,J0451-67
5.753107046225423e-15,0.5489392232937018,2.1093398960920485e-12,1.50667135435795e-20,J0452-1759
2.775e-15,1.665118677,1e-09,3e-18,J0452-3418
1.8612e-19,0.045781816872951,4e-15,8.000000000000001e-23,J0453+1559
4.888e-15,1.389136936,4e-10,2e-18,J0454+4529
2.3722704378591677e-15,0.3407294362346444,9.287723897342289e-12,6.965792923018723e-20,J0454+5543
1.02119e-14,0.320422711526,1.2e-11,1.5e-18,J0455-6951
3.67e-14,0.80013207321,1e-10,3e-17,J0456-7031
2.1e-16,2.49701169613,1.9e-10,3e-17,J0457-6337
5.3e-16,1.88347965849,1.8e-10,1.5e-16,J0458-0505
1.3982535618344143e-15,1.1330761236588236,5.135446008022823e-12,5.1354460080229795e-20,J0459-0210
5.816947723233136e-12,5.762096529141806,3.320175641114804e-08,2.6561405129003022e-14,J0501+4516
5.582339283546806e-15,0.6385654815170677,2.0388293709256227e-12,1.6310634967443932e-20,J0502+4654
2.309e-14,0.69125141818,4e-11,6e-18,J0502-6617
4.411842732598242e-21,0.00405583823156445,4.934947128185954e-16,1.1514876632433892e-23,J0509+0856
7.931342983287881e-18,0.07654134872198645,1.1717156128361474e-13,2.3434312256722946e-21,J0509+3801
2.06e-16,0.322061827468,8e-12,4e-18,J0511-6508
6.97363519148694e-22,0.004990575114112222,2.490583996959622e-15,1.245291998479811e-22,J0514-4002A
-2.2859678079467165e-30,0.005595947418098155,2.8183164755507463e-14,6.88921805134627e-31,J0514-4002E
2.0420312409600508e-15,0.3202708224090367,6.154403981193644e-13,1.0257339968659073e-20,J0514-4408
1.1604685235336907e-17,0.22236651519824963,6.428092720583739e-13,1.4834060124424031e-21,J0517+2212
6.856102858164104e-16,2.6369397366281664,6.9534511746086235e-12,3.476725587304312e-18,J0518+2431
1.91e-16,0.912511685262,8e-12,1e-18,J0518+5125
1.6758839833694322e-15,0.3402026515995246,5.7868922077673765e-12,3.472135324660427e-18,J0518+5416
6.968e-16,0.263211634568,3e-12,5e-19,J0519-6932
3.0092355386766885e-17,0.2416421756731351,6.42300351704509e-13,8.17473174896648e-21,J0520-2553
1.7727e-14,0.67453190906,3e-11,1.4e-17,J0522-6847
7.360515770634811e-17,0.3544375945137003,1.2562600840465826e-13,5.025040336186357e-22,J0525+1115
6.5e-11,8.047,0.0002,5e-12,J0525-6607
4.005297850669072e-14,3.7455392503014053,2.8058128551096827e-11,1.40290642755497e-18,J0528+2200
5.754503397724147e-16,0.6892236013587903,8.075495935389673e-12,8.075495935389673e-19,J0529-0715
1.5473488631869724e-14,0.9757368267423994,1.904124710122654e-11,3.8082494202500966e-19,J0529-6652
6.21239814499062e-16,0.9065019505629432,1.6434915727488413e-11,1.6434915727488417e-18,J0530-3847
5.354e-15,0.64274275093,3e-11,1.3e-17,J0532-6639
1.6002344482917597e-16,0.9630178250569573,1.8548066627548648e-11,7.419226651019484e-20,J0533+0402
1.261842267279618e-20,0.004388159969879358,3.851189584250322e-16,5.776784376375482e-24,J0533+6759
2.8024e-16,0.157284525096,2e-12,2e-20,J0533-4524
4.209716096219071e-13,0.033392412302258895,1.1150531993640513e-09,2.2302836087834246e-18,J0534+2200
4.2505e-13,1.81756503106,1.7e-10,6e-17,J0534-6703
1.15e-14,0.20051133,2e-08,3e-16,J0535-6935
5.777130229583847e-16,1.245856132913541,7.760787519591412e-12,1.241726003134626e-18,J0536-7543
5.1784337755706523e-14,0.016122222024544827,3.3790385591133377e-13,1.039704194694542e-20,J0537-6910
3.6694514834080876e-15,0.1431582589117747,1.0247143547325358e-13,1.2296572256902637e-21,J0538+2817
4.4811e-16,0.524271,,2e-20,J0540+3207
1.1698482322050895e-17,0.401141464892712,3.2182894971254183e-12,8.045723742813546e-20,J0540+4542
4.789090844006097e-13,0.050569703022172514,1.7901064046255068e-12,2.0458359190964333e-19,J0540-6919
8.2e-16,1.286014595,3e-09,8e-17,J0540-7125
1.5422691027959168e-14,0.24597476889006475,1.815107607915623e-12,1.8151076080583386e-20,J0543+2329
3.94e-15,0.70895418575,6e-11,3e-17,J0543-6851
7.65e-15,2.84385,,3e-17,J0546+2441
1.3742144485512858e-17,0.5594934351697212,3.1303290399801496e-13,2.191230327986105e-19,J0553+4111
1.4260282244607043e-13,0.4649609657362604,1.5133208976087716e-11,1.0809434983318374e-18,J0554+3107
5.96e-15,0.82783808575,7e-11,3e-17,J0555-7056
7.351889210167145e-21,0.0025563670767829263,5.228010105007747e-16,1.9605037893779052e-23,J0557+1550
7.3e-20,0.0436426389,3e-13,5e-21,J0557-2948
2.78e-15,2.261364513,3e-09,9e-17,J0600-5756
1.3020976537445312e-15,0.39596916954318157,4.703747496861507e-13,4.7037474968625235e-21,J0601-0527
4.7173152571440074e-21,0.0027279542000546576,7.441734117595847e-17,2.976693647038339e-24,J0605+3757
1.351042e-14,0.945844752002,3e-12,1.8e-19,J0608+1635
2.35e-19,0.05569801392951,2e-14,2e-21,J0609+2130
1.23266116302034e-20,0.003861324766937261,8.945897373457855e-17,1.0436880269034165e-25,J0610-2100
3.997e-15,0.27032946262,3e-11,3e-18,J0611+1436
5.946853655455225e-17,0.29798232657188345,1.7758693389838519e-13,1.7758693389838535e-21,J0612+3721
1.4973656118500185e-16,0.44387136766511215,1.9702179103289718e-11,1.3791525372302802e-17,J0612+37216
3.2447682571897138e-15,0.6191981810968724,6.134502199578803e-11,1.917031937368484e-18,J0613+3731
9.590671044972456e-21,0.003061844088094675,3.749955687920125e-18,7.49991137584025e-26,J0613-0200
5.944943926843433e-14,0.33495996611057016,1.5707745045551203e-10,1.1219817903533637e-18,J0614+2229
1.7419109117279195e-20,0.00314866958536681,3.965648063125599e-17,3.965648063125599e-24,J0614-3329
7.24e-18,0.2699540683678,9e-13,6e-20,J0621+0336
4.73e-20,0.0288538611940574,1.6e-15,5e-23,J0621+1002
2.483e-20,0.0027217879391872,4e-16,3e-23,J0621+2514
2.5423683778566785e-14,0.33320823180103,5.551386286998446e-12,4.441109029606837e-19,J0622+3749
8.837e-17,0.613759600022,7e-12,3e-20,J0623+0340
8.304422905987933e-16,1.0390764758509907,1.4035838994669887e-12,1.1876479149336271e-20,J0624-0424
1.698e-15,0.346522567131,1.3e-11,3e-18,J0627+0649
2.9808604339332905e-14,0.4758849377129841,2.2646647394209077e-12,1.1323323697140083e-19,J0627+0706
5.479e-16,1.241421391299,3e-12,2e-19,J0628+0909
1.9957257071850782e-15,0.47662283603808464,3.4075399174948035e-12,2.726031933997337e-20,J0629+2415
3.7481e-15,0.680574832268,7e-12,1.9e-18,J0630-0046
7.12286869575224e-15,1.2444185961512455,7.742888212235182e-11,2.0131509352006613e-19,J0630-2834
3.61723100047078e-15,0.11097894321598467,7.38979550240205e-13,2.4632651674720604e-20,J0631+0646
1.0271712510572369e-13,0.28781555571653766,4.970267646745164e-11,4.1418897208141336e-19,J0631+1036
7.959154948922749e-14,0.2973951905763917,6.191072956457783e-11,2.653316981545987e-18,J0633+0632
1.0970873069634593e-14,0.23709944169214436,2.2486458100290626e-12,5.059453072608186e-20,J0633+1746
3.82e-15,3.2532108384,5e-10,8e-17,J0633-2015
3.508005503453944e-21,0.0028689528464465232,8.230890435133608e-17,6.584712348106887e-24,J0636+5128
3.172e-15,1.98459736713,4e-11,2e-18,J0636-4549
4.921129625330751e-21,0.008853496686414667,1.0189972464926214e-17,3.9192201788177743e-25,J0645+5158
7.360887738912894e-16,0.9039133565108369,7.353534204708187e-11,1.6341187121578136e-19,J0646+0905
6.421e-15,1.23485362778,3e-11,8e-18,J0647+0913
1.525e-16,0.924053918109,1.4e-11,1.2e-18,J0652-0142
2.076069607246827e-20,0.0047581298242818084,1.5847859597304024e-15,6.79193982741601e-23,J0653+4706
3.798786655040397e-15,1.2144405115160142,1.9173254828146613e-12,1.474865756011766e-20,J0653+8051
2.67e-17,1.22475441462,3e-11,1.7e-18,J0656-2228
3.191e-17,0.183156898795,2e-12,9e-20,J0656-5449
9.15201e-15,0.563294925255,3e-12,1.3e-19,J0658+0022
1.4383846100980137e-15,0.823700981333643,4.0708998399000386e-10,4.070899839900041e-17,J0658+2936
5.4941230462711125e-14,0.3849286233650379,2.9634009017140642e-12,1.1853603607158114e-19,J0659+1414
6.853394262025064e-19,0.1956709451662738,1.5314847512905172e-13,1.148613563467888e-21,J0700+6418
3.8040397844533193e-19,0.034428978177458644,1.1853545383439234e-15,3.5560636150317705e-23,J0709+0458
1.26e-16,0.485268383925,5e-12,2e-19,J0709-5923
